Internal ID,Type,Document Number,Date,Name,Other Ref Num,Item,Memo,Quantity,Units,Item Rate,Amount,Ship Country
21001,Item Receipt,IR10481,2023-03-14,Shenzhen Hightone Electronics Co Ltd,PO-10481,DCM-750-A,"Electric DC motor, 24V 500W",2500,No.,34.00,85000.00,CN
21002,Item Receipt,IR10482,2023-05-22,Dongguan PowerCell Mfg Ltd,PO-10482,PSU-240-B,"Switching power supply 240W",1500,No.,52.00,78000.00,CN
21003,Item Receipt,IR10493,2023-08-09,Shenzhen Hightone Electronics Co Ltd,PO-10493,SW-1000-C,"Panel switch <=1000V",4000,No.,9.50,38000.00,CN
21004,Item Receipt,IR10510,2024-01-18,Suzhou NetGear Components Ltd,PO-10510,NET-SW-24,"24-port networking switch",600,No.,118.00,70800.00,CN
21005,Item Receipt,IR10511,2024-02-02,Dongguan Connext Cable Co,PO-10511,CONN-DB9,"Insulated connector assembly DB9",6000,No.,4.20,25200.00,CN
21006,Item Receipt,IR10527,2024-04-26,Ningbo SteelForm Industrial,PO-10527,BRKT-STL-1,"Steel mounting bracket, other",1600,No.,12.00,19200.00,CN
21007,Item Receipt,IR10544,2024-07-12,Shenzhen Hightone Electronics Co Ltd,PO-10544,DCM-750-A,"Electric DC motor, 24V 500W",1000,No.,35.50,35500.00,CN
21008,Item Receipt,IR10561A,2024-09-30,Dongguan PowerCell Mfg Ltd,PO-10561,PSU-240-B,"Switching power supply 240W (partial 1 of 2)",800,No.,53.00,42400.00,CN
21009,Item Receipt,IR10561B,2024-10-04,Dongguan PowerCell Mfg Ltd,PO-10561,PSU-240-B,"Switching power supply 240W (partial 2 of 2)",1200,No.,53.00,63600.00,CN
21010,Item Receipt,IR10588,2024-12-15,Suzhou NetGear Components Ltd,PO-10588,NET-SW-24,"24-port networking switch",900,No.,120.00,108000.00,CN
21011,Item Receipt,IR10604,2025-02-20,Shenzhen Hightone Electronics Co Ltd,PO-10604,DCM-750-A,"Electric DC motor, 24V 500W",2000,No.,36.00,72000.00,CN
21012,Item Receipt,IR10637,2025-05-11,Ningbo SteelForm Industrial,PO-10637,BRKT-STL-1,"Steel mounting bracket, other",1200,No.,12.50,15000.00,CN
21013,Item Receipt,IR10641,2025-06-03,Dongguan Connext Cable Co,PO-10641,CONN-DB9,"Insulated connector assembly DB9",5000,No.,4.40,22000.00,CN
21014,Item Receipt,IR10702,2025-11-22,Suzhou NetGear Components Ltd,PO-10702,NET-SW-24,"24-port networking switch (recent, unliquidated)",700,No.,121.00,84700.00,CN
21015,Item Receipt,IR10455,2021-02-10,Shenzhen Hightone Electronics Co Ltd,PO-10455,DCM-750-A,"Electric DC motor (pre-window, out of 5yr)",1800,No.,33.00,59400.00,CN
21016,Item Receipt,IR10808,2025-08-14,Guangzhou OfficeChair Mfg,PO-10808,CHAIR-ERG,"Ergonomic office chair (no customs entry on file)",300,No.,64.00,19200.00,CN
